,Key,Best CJM,Score
200,8,"[((6, 7, 8, 8.5, 9, 15, 16, 19, 22), (1, 1, 16, 1, 4, 3, 1, 17, 1)), ((12, 12.5, 14), (1, 11, 1))]",0.8336804114471892
200,3,"[((7, 7.5, 10, 11, 12, 14, 15), (1, 3, 14, 18, 19, 4, 14)), ((12, 12.5, 14), (1, 11, 1)), ((10, 10.5, 11.0, 12, 13, 14, 17), (1, 14, 17, 13, 11, 17, 1))]",0.8298325349103466
200,4,"[((18, 19, 20), (1, 11, 1)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 1))]",0.8297421007060913
200,7,"[((7, 12, 20), (1, 13, 1)), ((10, 10.5, 12, 12.5, 13, 15, 16, 17, 20, 24), (1, 15, 14, 13, 12, 14, 11, 17, 15, 1))]",0.8181158121177172
200,9,"[((16, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 21), (1, 14, 11, 12, 11, 11, 1, 13, 1)), ((16.5, 17.0, 17, 17.5, 18.0, 18, 18.5, 19.5, 21), (14, 11, 8, 12, 11, 5, 11, 13, 1)), ((6, 8, 9, 13, 15, 19, 21), (1, 16, 1, 18, 1, 13, 1)), ((12, 14, 14.5, 16), (1, 11, 1, 1))]",0.8167894750189921
200,10,"[((4, 4.5, 11, 11.5, 12.0, 13, 14, 14, 14.5), (3, 1, 18, 1, 1, 11, 11, 13, 1)), ((8, 8.5, 9, 11, 13, 17, 17, 17, 18, 20), (1, 1, 1, 12, 4, 4, 1, 8, 4, 13)), ((6, 6, 7, 8, 10, 11, 13, 13.5, 15, 16, 18), (1, 7, 3, 3, 3, 3, 3, 3, 3, 3, 1)), ((11, 13, 16), (1, 11, 1))]",0.8082091902241542
200,10,"[((6, 6.5, 7, 8, 8.5, 9, 15, 16, 19, 22), (1, 16, 1, 16, 1, 4, 3, 1, 17, 1)), ((10, 10.5, 12, 12.5, 13, 15, 16, 17, 20, 24), (1, 15, 14, 13, 12, 14, 11, 17, 15, 1)), ((4, 4.5, 10, 11, 11.5, 12.0, 13, 14, 14.5, 18), (3, 1, 18, 18, 1, 1, 11, 11, 1, 3)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 1)), ((6, 7, 8, 10, 11, 13, 13.5, 15, 16, 16, 18), (1, 3, 3, 3, 3, 3, 3, 3, 3, 15, 1)), ((19, 19.5, 20.0, 20.5), (1, 11, 13, 1))]",0.7673732544092332
200,7,"[((9, 9.5, 11), (1, 19, 1)), ((10, 10.5, 11, 12, 15, 18, 19.5, 22), (1, 12, 1, 17, 1, 13, 15, 1)), ((8, 9, 9.5, 10, 11, 14, 17, 17, 17.5, 18, 18), (1, 3, 4, 3, 6, 4, 6, 17, 11, 19, 5)), ((16, 16.5, 17.0, 17.5, 18.0, 19.0, 21), (1, 14, 11, 12, 11, 1, 1)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 1)), ((6, 7, 8, 11, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 3, 3, 3, 1)), ((10, 10.5, 11, 12, 15, 18, 19, 19.5, 22), (1, 12, 1, 17, 1, 13, 1, 15, 1)), ((10, 10.5, 11, 12, 15, 18, 19, 19.5, 22), (1, 12, 1, 17, 1, 13, 1, 15, 1)), ((6, 7, 8, 10, 11, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 3, 3, 3, 3, 1)), ((12, 12.5, 14, 14.5, 16), (1, 13, 11, 1, 1)), ((10, 10.5, 11, 12, 12, 15, 18, 19, 22), (1, 12, 1, 17, 7, 1, 13, 1, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((4, 4.5, 10, 11, 11.5, 12.0, 13, 14, 14.5, 18), (3, 1, 18, 18, 1, 1, 11, 11, 1, 3)), ((11, 12, 13, 14, 14, 16, 16), (1, 6, 11, 13, 17, 1, 6)), ((10, 10.5, 11, 12, 15, 18, 19, 19.5, 22), (1, 12, 1, 17, 1, 13, 1, 15, 1))]",0.7612105613823741
200,6,"[((4, 5, 7, 9, 10, 15, 16, 17, 17.5), (1, 11, 3, 4, 3, 5, 18, 1, 1)), ((7, 8, 12, 13, 17, 20), (1, 3, 13, 3, 16, 1)), ((8, 9, 10, 11, 11, 12, 13, 17, 18, 22), (1, 18, 11, 1, 7, 13, 1, 15, 15, 1)), ((11, 11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 6, 12, 1, 16, 16, 11, 1, 12, 1)), ((7, 7.5, 19), (1, 3, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 21, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 8, 1)), ((6, 7, 8, 10, 11, 13, 13.5, 16, 18), (1, 3, 3, 3, 3, 3, 3, 3, 1)), ((19, 19.5, 20.0, 20.5), (1, 11, 13, 1)), ((4, 4.5, 10, 11, 11.5, 12.0, 13, 14, 14.5, 18), (3, 1, 18, 18, 1, 1, 11, 11, 1, 3))]",0.7609236340645994
200,6,"[((7, 8, 9, 9, 10, 12, 15, 17, 19, 21), (1, 11, 13, 12, 4, 4, 16, 4, 7, 4)), ((9, 9.5, 11), (1, 19, 1)), ((6, 8, 10, 11, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 3, 3, 3, 1)), ((10, 11, 14, 14.5, 15.0, 20), (1, 17, 11, 13, 17, 1)), ((9, 10, 11, 13, 13, 15, 18), (1, 13, 14, 13, 13, 14, 11)), ((8, 9, 9.5, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 4, 6, 11, 19, 1)), ((6, 7, 8, 10, 11, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 3, 3, 3, 3, 1))]",0.7563180209271849
